sample,time,solved,E2.Tsi,E2.Tti,K1.P1,M1.PV,M2.PV,M3.PV,R1.T2,R1.Xmax,R1.tau,S4.W,SNK1.P,SNK1.T,SNK1.z[C2H4O],SNK1.z[C2H4],SNK1.z[CO2],SRCE1.P,SRCE1.T,SRCE1.W,SRCR1.M[C2H4],SRCR1.M[O2],SRCR1.P,SRCR1.T,XC1.SP,XC2.SP,XV1.Pos,XV2.Pos,XV3.Pos
0,,True,20.002394485167372,343.18745571859347,0.8872688121705801,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921123,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.38726881217058,25.0,150.0,99.4177777777775,1.0,1.0,0.5
1,,True,20.002394485167372,392.50513071373564,0.5625638025427399,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.2994442979690495,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921105,0.2550169606342183,0.06144283489597119,1.5,20.0,100.0,4464.0,1195.4,1.06256380254274,25.0,150.0,99.4177777777775,1.0,1.0,0.5
2,,True,20.002394485167372,342.37290474267877,0.8940481858127001,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.2994442979690501,1.1290591808492985,99.4177777777775,1.6078166151936488,217.1514433294687,0.016507649216921126,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.3940481858127,25.0,150.0,99.4177777777775,1.0,1.0,0.5
3,,True,20.002394485167372,365.2135492294814,0.7229848684225201,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.29944429796904964,1.1290591808492985,99.4177777777775,1.6078166151936488,217.1514433294687,0.01650764921692111,0.2550169606342183,0.06144283489597119,1.5,20.0,100.0,4464.0,1195.4,1.22298486842252,25.0,150.0,99.4177777777775,1.0,1.0,0.5
4,,True,20.002394485167372,360.800306453551,0.7531396649818501,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905014,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946875,0.01650764921692113,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.25313966498185,25.0,150.0,99.4177777777775,1.0,1.0,0.5
5,,True,20.002394485167372,335.77279851830417,0.9510241905160199,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.2994442979690498,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946875,0.016507649216921116,0.2550169606342183,0.06144283489597119,1.5,20.0,100.0,4464.0,1195.4,1.45102419051602,25.0,150.0,99.4177777777775,1.0,1.0,0.5
6,,True,20.002394485167372,375.27446352603124,0.65887874543864,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.2994442979690501,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946875,0.01650764921692113,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.15887874543864,25.0,150.0,99.4177777777775,1.0,1.0,0.5
7,,True,20.002394485167372,365.2113705924444,0.7229994380740399,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.29944429796904964,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946875,0.016507649216921112,0.2550169606342183,0.06144283489597119,1.5,20.0,100.0,4464.0,1195.4,1.22299943807404,25.0,150.0,99.4177777777775,1.0,1.0,0.5
8,,True,20.002394485167372,338.4108644250226,0.9278070413411299,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.2994442979690501,1.1290591808492985,99.4177777777775,1.6078166151936488,217.1514433294688,0.016507649216921123,0.2550169606342183,0.06144283489597121,1.5,20.0,100.0,4464.0,1195.4,1.42780704134113,25.0,150.0,99.4177777777775,1.0,1.0,0.5
9,,True,20.002394485167372,393.5143135603947,0.5574020527050499,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.2994442979690495,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946852,0.016507649216921102,0.25501696063421836,0.06144283489597118,1.5,20.0,100.0,4464.0,1195.4,1.05740205270505,25.0,150.0,99.4177777777775,1.0,1.0,0.5
