sample,time,solved,E2.Tsi,E2.Tti,K1.P1,M1.PV,M2.PV,M3.PV,R1.T2,R1.Xmax,R1.tau,S4.W,SNK1.P,SNK1.T,SNK1.z[C2H4O],SNK1.z[C2H4],SNK1.z[CO2],SRCE1.P,SRCE1.T,SRCE1.W,SRCR1.M[C2H4],SRCR1.M[O2],SRCR1.P,SRCR1.T,XC1.SP,XC2.SP,XV1.Pos,XV2.Pos,XV3.Pos
0,,True,20.002394485167372,405.44760619525937,0.49999999999999994,150.0,120.931535486769,22.099999999999977,219.9162563495418,0.2727061150547554,0.9220952402930558,120.931535486769,1.6078166151936488,219.91625634954204,0.014600198530743139,0.2570107178896913,0.06069842190094095,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,120.931535486769,1.0,1.0,0.5
1,,True,20.002394485167372,405.4476061952596,0.49999999999999994,150.0,153.050201307011,22.099999999999977,223.85002965927862,0.2488181644798615,0.722143914418012,153.050201307011,1.6078166151936488,223.85002965927873,0.012785342542567631,0.2588683418063828,0.060068843463401994,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,153.050201307011,1.0,1.0,0.5
2,,True,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,149.64427556136,22.099999999999977,223.4438234588123,0.2507527196932003,0.7392431554169416,149.64427556136,1.6078166151936488,223.44382345881235,0.012939160355384293,0.25871315639390713,0.060117688899762524,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,149.64427556136,1.0,1.0,0.5
3,,True,20.002394485167372,405.44760619525937,0.49999999999999994,150.0,136.758911073355,22.099999999999977,221.88368450036376,0.2592034043580231,0.8117185725665275,136.758911073355,1.6078166151936488,221.88368450036398,0.013594209232378225,0.2580469793892303,0.06033631031231984,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,136.758911073355,1.0,1.0,0.5
4,,True,20.002394485167372,405.4476061952596,0.49999999999999994,150.0,173.126206837946,22.099999999999977,226.19277671076378,0.2394062027700848,0.6351502928766828,173.126206837946,1.6078166151936488,226.19277671076406,0.012007672637908,0.2596437458819315,0.059840251642697496,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,173.126206837946,1.0,1.0,0.5
5,,True,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,179.494706174541,22.099999999999977,226.91781920690687,0.2370090571254277,0.6116600469677034,179.494706174541,1.6078166151936488,226.9178192069068,0.011799221964231617,0.2598484679850863,0.059785221157640345,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,179.494706174541,1.0,1.0,0.5
6,,True,20.002394485167372,405.44760619525937,0.49999999999999994,150.0,148.439084761405,22.099999999999977,223.2994710222486,0.2514647943841732,0.745483555062932,148.439084761405,1.6078166151936488,223.29947102224844,0.012995369020968818,0.2586563196227927,0.060135794881642037,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,148.439084761405,1.0,1.0,0.5
7,,True,20.002394485167372,405.4476061952596,0.49999999999999994,150.0,123.938536059802,22.099999999999977,220.29439522907535,0.26981948269635275,0.8989361054792924,123.938536059802,1.6078166151936488,220.29439522907558,0.014388371763826235,0.2572300158260987,0.06061997987843435,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,123.938536059802,1.0,1.0,0.5
8,,True,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,138.044496477274,22.099999999999977,222.04101031952837,0.2582708422876046,0.8038741744381896,138.044496477274,1.6078166151936488,222.0410103195277,0.01352308203433908,0.2581196896953502,0.06031182217055231,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,138.044496477274,1.0,1.0,0.5
9,,True,20.002394485167372,405.44760619525937,0.49999999999999994,150.0,178.48831036268,22.099999999999977,226.80381408014716,0.2373718211223959,0.6152594106699845,178.48831036268,1.6078166151936488,226.80381408014728,0.01183111660267664,0.2598172434670583,0.05979344202882669,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,178.48831036268,1.0,1.0,0.5
