sample,time,solved,E2.Tsi,E2.Tti,K1.P1,M1.PV,M2.PV,M3.PV,R1.T2,R1.Xmax,R1.tau,S4.W,SNK1.P,SNK1.T,SNK1.z[C2H4O],SNK1.z[C2H4],SNK1.z[CO2],SRCE1.P,SRCE1.T,SRCE1.W,SRCR1.M[C2H4],SRCR1.M[O2],SRCR1.P,SRCR1.T,XC1.SP,XC2.SP,XV1.Pos,XV2.Pos,XV3.Pos
0,,True,20.002394485167372,405.44760619525937,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,210.3879542800497,0.46409817255093766,2.3025041482695543,49.70888888888875,1.6078166151936488,210.38795428004966,0.027567861130052274,0.24319344077322963,0.06628499002420878,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
1,,True,20.002394485167372,405.44760619525914,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,210.3879542800497,0.4640981725509378,2.3025041482695543,49.70888888888875,1.6078166151936488,210.38795428005022,0.02756786113005229,0.24319344077322963,0.06628499002420879,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
2,,True,20.002394485167372,405.44760619525937,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,210.38795428004966,0.4640981725509375,2.3025041482695543,49.70888888888875,1.6078166151936488,210.38795428004926,0.027567861130052274,0.24319344077322966,0.06628499002420878,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
3,,True,20.002394485167372,405.44760619525914,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,210.38795428004966,0.464098172550937,2.302504148269555,49.70888888888875,1.6078166151936488,210.38795428004948,0.02756786113005227,0.24319344077322966,0.06628499002420876,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
4,,True,20.002394485167372,405.44760619525937,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,210.38795428004966,0.46409817255093666,2.3025041482695547,49.70888888888875,1.6078166151936488,210.38795428004943,0.027567861130052246,0.24319344077322969,0.06628499002420875,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
5,,True,20.002394485167372,405.44760619525914,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,210.38795428004966,0.464098172550937,2.302504148269555,49.70888888888875,1.6078166151936488,210.38795428004943,0.02756786113005226,0.24319344077322969,0.06628499002420876,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
6,,True,20.002394485167372,405.44760619525937,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,210.38795428004966,0.464098172550937,2.3025041482695547,49.70888888888875,1.6078166151936488,210.3879542800496,0.027567861130052263,0.24319344077322969,0.06628499002420876,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
7,,True,20.002394485167372,405.44760619525914,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,210.38795428004966,0.4640981725509369,2.3025041482695547,49.70888888888875,1.6078166151936488,210.38795428004977,0.027567861130052267,0.2431934407732297,0.06628499002420878,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
8,,True,20.002394485167372,405.44760619525937,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,210.38795428004966,0.46409817255093705,2.302504148269555,49.70888888888875,1.6078166151936488,210.3879542800491,0.02756786113005227,0.2431934407732297,0.06628499002420876,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
9,,True,20.002394485167372,405.44760619525914,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,210.38795428004966,0.4640981725509366,2.3025041482695547,49.70888888888875,1.6078166151936488,210.38795428004937,0.027567861130052246,0.2431934407732297,0.06628499002420875,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
