sample,time,solved,E2.Tsi,E2.Tti,K1.P1,M1.PV,M2.PV,M3.PV,R1.T2,R1.Xmax,R1.tau,S4.W,SNK1.P,SNK1.T,SNK1.z[C2H4O],SNK1.z[C2H4],SNK1.z[CO2],SRCE1.P,SRCE1.T,SRCE1.W,SRCR1.M[C2H4],SRCR1.M[O2],SRCR1.P,SRCR1.T,XC1.SP,XC2.SP,XV1.Pos,XV2.Pos,XV3.Pos
0,,True,20.002394485167372,711.2258340818247,0.037286582208703865,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.2994442979690495,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921105,0.2550169606342183,0.06144283489597119,1.5,20.0,100.0,4464.0,1195.4,0.537286582208704,25.0,150.0,99.4177777777775,1.0,1.0,0.5
1,,True,20.002394485167372,483.2955419562842,0.24958467563850584,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.2994442979690501,1.1290591808492985,99.4177777777775,1.6078166151936488,217.1514433294687,0.016507649216921126,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,0.749584675638506,25.0,150.0,99.4177777777775,1.0,1.0,0.5
2,,True,20.002394485167372,544.5922333876686,0.14686358888791282,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.29944429796904964,1.1290591808492985,99.4177777777775,1.6078166151936488,217.1514433294687,0.01650764921692111,0.2550169606342183,0.06144283489597119,1.5,20.0,100.0,4464.0,1195.4,0.6468635888879128,25.0,150.0,99.4177777777775,1.0,1.0,0.5
3,,True,20.002394485167372,558.1448330487741,0.1308690930576069,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905014,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946875,0.01650764921692113,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,0.630869093057607,25.0,150.0,99.4177777777775,1.0,1.0,0.5
4,,True,20.002394485167372,548.894072892431,0.14157485147984183,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.2994442979690498,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946875,0.016507649216921116,0.2550169606342183,0.06144283489597119,1.5,20.0,100.0,4464.0,1195.4,0.641574851479842,25.0,150.0,99.4177777777775,1.0,1.0,0.5
5,,True,20.002394485167372,512.2878865133597,0.1938667189927319,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.2994442979690501,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946875,0.01650764921692113,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,0.693866718992732,25.0,150.0,99.4177777777775,1.0,1.0,0.5
6,,True,20.002394485167372,446.51340106143834,0.34552221221714385,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.29944429796904964,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946875,0.016507649216921112,0.2550169606342183,0.06144283489597119,1.5,20.0,100.0,4464.0,1195.4,0.8455222122171439,25.0,150.0,99.4177777777775,1.0,1.0,0.5
7,,False,20.002394485167372,846.174916574594,0.01319200938591095,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.2994442979690501,1.1290591808492985,99.4177777777775,1.6078166151936488,217.1514433294687,0.016507649216921123,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,0.513192009385911,25.0,150.0,99.4177777777775,1.0,1.0,0.5
8,,True,20.002394485167372,537.3752553556046,0.15620835753393003,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.2994442979690495,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921105,0.2550169606342183,0.06144283489597119,1.5,20.0,100.0,4464.0,1195.4,0.6562083575339301,25.0,150.0,99.4177777777775,1.0,1.0,0.5
9,,True,20.002394485167372,520.0332497316836,0.181314382965516,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.2994442979690501,1.1290591808492985,99.4177777777775,1.6078166151936488,217.1514433294687,0.016507649216921126,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,0.681314382965516,25.0,150.0,99.4177777777775,1.0,1.0,0.5
10,,True,20.002394485167372,522.9054919028647,0.176879387017675,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.29944429796904964,1.1290591808492985,99.4177777777775,1.6078166151936488,217.1514433294687,0.01650764921692111,0.2550169606342183,0.06144283489597119,1.5,20.0,100.0,4464.0,1195.4,0.676879387017675,25.0,150.0,99.4177777777775,1.0,1.0,0.5
11,,True,20.002394485167372,534.9554590136183,0.159479934634713,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905014,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946875,0.01650764921692113,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,0.6594799346347131,25.0,150.0,99.4177777777775,1.0,1.0,0.5
12,,True,20.002394485167372,690.6559961180958,0.043924142509770905,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.2994442979690498,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946875,0.016507649216921116,0.2550169606342183,0.06144283489597119,1.5,20.0,100.0,4464.0,1195.4,0.543924142509771,25.0,150.0,99.4177777777775,1.0,1.0,0.5
13,,True,20.002394485167372,436.4643110305234,0.377986239440199,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.2994442979690501,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946875,0.01650764921692113,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,0.877986239440199,25.0,150.0,99.4177777777775,1.0,1.0,0.5
14,,True,20.002394485167372,467.2445856940211,0.287457431552539,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.29944429796904964,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946875,0.016507649216921112,0.2550169606342183,0.06144283489597119,1.5,20.0,100.0,4464.0,1195.4,0.787457431552539,25.0,150.0,99.4177777777775,1.0,1.0,0.5
15,,True,20.002394485167372,467.2204996448859,0.2875185985983999,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.2994442979690501,1.1290591808492985,99.4177777777775,1.6078166151936488,217.1514433294688,0.016507649216921123,0.2550169606342183,0.06144283489597121,1.5,20.0,100.0,4464.0,1195.4,0.7875185985984,25.0,150.0,99.4177777777775,1.0,1.0,0.5
16,,True,20.002394485167372,764.7135686337755,0.02451963802158687,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.2994442979690495,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946852,0.016507649216921102,0.25501696063421836,0.06144283489597118,1.5,20.0,100.0,4464.0,1195.4,0.524519638021587,25.0,150.0,99.4177777777775,1.0,1.0,0.5
17,,True,20.002394485167372,762.1246217640631,0.025016551100554948,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.2994442979690499,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946846,0.016507649216921123,0.25501696063421836,0.06144283489597121,1.5,20.0,100.0,4464.0,1195.4,0.525016551100555,25.0,150.0,99.4177777777775,1.0,1.0,0.5
18,,True,20.002394485167372,407.12097311654645,0.49246100029196493,150.0,99.4177777777775,22.099999999999977,217.15144332946863,0.2994442979690495,1.1290591808492985,99.4177777777775,1.6078166151936488,217.1514433294684,0.016507649216921105,0.25501696063421836,0.06144283489597119,1.5,20.0,100.0,4464.0,1195.4,0.9924610002919649,25.0,150.0,99.4177777777775,1.0,1.0,0.5
