sample,time,solved,E2.Tsi,E2.Tti,K1.P1,M1.PV,M2.PV,M3.PV,R1.T2,R1.Xmax,R1.tau,S4.W,SNK1.P,SNK1.T,SNK1.z[C2H4O],SNK1.z[C2H4],SNK1.z[CO2],SRCE1.P,SRCE1.T,SRCE1.W,SRCR1.M[C2H4],SRCR1.M[O2],SRCR1.P,SRCR1.T,XC1.SP,XC2.SP,XV1.Pos,XV2.Pos,XV3.Pos
0,,True,20.002394485167372,405.44760619525937,0.49999999999999994,150.0,89.8797146873594,22.099999999999977,215.89275315112945,0.31603194329803014,1.252822250423021,89.8797146873594,1.6078166151936488,215.89275315112945,0.01765826875055933,0.25380236692640207,0.06191570649131812,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,89.8797146873594,1.0,1.0,0.5
1,,True,20.002394485167372,405.4476061952596,0.49999999999999994,150.0,94.6582427605084,22.099999999999977,216.52583849872843,0.30725598506638,1.1876734768809996,94.65824276050841,1.6078166151936488,216.52583849872832,0.01705179699495035,0.254443427599005,0.06166472554949367,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,94.6582427605084,1.0,1.0,0.5
2,,True,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,87.8567735965328,22.099999999999977,215.6232546775219,0.32006626674237226,1.2825561910370649,87.85677359653279,1.6078166151936488,215.6232546775217,0.0179355938808197,0.25350865669229117,0.06203161094244622,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,87.8567735965328,1.0,1.0,0.5
3,,True,20.002394485167372,405.44760619525937,0.49999999999999994,150.0,87.4500760149169,22.099999999999977,215.56896792363148,0.32090216105407465,1.2887014989134469,87.4500760149169,1.6078166151936488,215.56896792363125,0.017992949617838823,0.25344787119652307,0.06205566409039116,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,87.4500760149169,1.0,1.0,0.5
4,,True,20.002394485167372,405.4476061952596,0.49999999999999994,150.0,50.9247592666308,22.099999999999977,210.55880357692604,0.45598653639648346,2.2461329475437575,50.9247592666308,1.6078166151936488,210.5588035769262,0.027031756581157747,0.2437708072504316,0.06604175716142352,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,50.9247592666308,1.0,1.0,0.5
5,,True,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,59.4190829702021,22.099999999999977,211.74597977589752,0.40888673233283873,1.9173169451179395,59.4190829702021,1.6078166151936488,211.7459797758974,0.023910846004189176,0.24712679941530585,0.06463603311748357,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,59.4190829702021,1.0,1.0,0.5
6,,True,20.002394485167372,405.44760619525937,0.49999999999999994,150.0,61.6272595327589,22.099999999999977,212.052617381014,0.3988536349806066,1.8468293256399986,61.6272595327589,1.6078166151936488,212.05261738101416,0.023243508382339254,0.24784299408498545,0.0643382700459131,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,61.6272595327589,1.0,1.0,0.5
7,,True,20.002394485167372,405.4476061952596,0.49999999999999994,150.0,79.735113229658,22.099999999999977,214.5325230436876,0.33853480327407354,1.4172598228981563,79.735113229658,1.6078166151936488,214.53252304368772,0.019195623516165997,0.2521704171064304,0.06256575214962602,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,79.735113229658,1.0,1.0,0.5
8,,True,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,84.7692216313198,22.099999999999977,215.21023964401826,0.3266327497563336,1.3306982976444783,84.7692216313198,1.6078166151936488,215.21023964401832,0.018385259945140786,0.2530317465139201,0.06222089635974126,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,84.7692216313198,1.0,1.0,0.5
9,,True,20.002394485167372,405.44760619525937,0.49999999999999994,150.0,59.6324033659509,22.099999999999977,211.7756397226317,0.4078835007390738,1.9102773528135044,59.63240336595089,1.6078166151936488,211.7756397226314,0.02384416816003593,0.24719838509569622,0.06460622931006527,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,59.6324033659509,1.0,1.0,0.5
10,,True,20.002394485167372,405.4476061952596,0.49999999999999994,150.0,74.2027856597865,22.099999999999977,213.78169660260932,0.35364111955782074,1.5260622759120277,74.2027856597865,1.6078166151936488,213.78169660260903,0.020217148599232376,0.25108176939964927,0.0630062217729096,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,74.2027856597865,1.0,1.0,0.5
11,,True,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,88.1061065045227,22.099999999999977,215.65651858230802,0.3195579998877978,1.2788169963795137,88.1061065045227,1.6078166151936488,215.65651858230814,0.017900701480369086,0.25354562884872633,0.062016991674053,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,88.1061065045227,1.0,1.0,0.5
