sample,time,solved,E2.Tsi,E2.Tti,K1.P1,M1.PV,M2.PV,M3.PV,R1.T2,R1.Xmax,R1.tau,S4.W,SNK1.P,SNK1.T,SNK1.z[C2H4O],SNK1.z[C2H4],SNK1.z[CO2],SRCE1.P,SRCE1.T,SRCE1.W,SRCR1.M[C2H4],SRCR1.M[O2],SRCR1.P,SRCR1.T,XC1.SP,XC2.SP,XV1.Pos,XV2.Pos,XV3.Pos
0,,True,20.002394485167372,408.4231749167586,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.20750308810057,0.2883677401193968,1.1194930684319813,99.41777777777749,1.6078166151936488,217.2075030881008,0.016352492582567837,0.2334154429590997,0.06291802353465607,1.5,20.0,100.0,3993.2534987634,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
1,,True,20.002394485167372,430.2997614081586,0.49999999999999994,149.99999999999994,99.4177777777775,22.099999999999977,218.41752751649852,0.22735189723671298,1.0522925215062326,99.4177777777775,1.6078166151936488,218.41752751649852,0.015093105121385418,0.08586345906586881,0.07308899211382366,1.5,20.0,100.0,1381.74042696303,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
2,,True,20.002394485167372,418.87929667474566,0.49999999999999994,149.99999999999994,99.4177777777775,22.099999999999977,217.5198699485507,0.2553468372137306,1.086927776424424,99.41777777777752,1.6078166151936488,217.51986994855093,0.01580000605331091,0.16049597340791405,0.06791214313364682,1.5,20.0,100.0,2586.38988198437,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
3,,True,20.002394485167372,426.77397599086873,0.49999999999999994,149.99999999999994,99.4177777777775,22.099999999999977,218.01474085804728,0.2352360845175562,1.0630333428499013,99.4177777777775,1.6078166151936488,218.01474085804767,0.015339072040516336,0.10836228722205224,0.07151352135707525,1.5,20.0,100.0,1723.60889661832,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
4,,True,20.002394485167372,413.85344761485646,0.49999999999999994,150.0000000000001,99.4177777777775,22.099999999999977,217.34130414597183,0.2701824884576204,1.1023961606511359,99.4177777777775,1.6078166151936488,217.34130414597166,0.016068575438603905,0.19497809295559698,0.06554696610964138,1.5,20.0,100.0,3219.31632237008,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
5,,True,20.002394485167372,443.0031590575368,0.49999999999999994,150.00000000000006,99.4177777777775,22.099999999999977,41.87878508203164,0.0002713041972104979,1.5813635893942228,99.4177777777775,1.6078166151936488,41.8787850820317,2.3681524299819928e-05,0.026748336311698068,0.06936621564254226,1.5,20.0,100.0,325.350898371124,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
6,,True,20.002394485167372,438.0413682128983,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,41.36078130294226,0.0001255772106488956,1.604076096748475,99.4177777777775,1.6078166151936488,41.360781302942144,2.3015806410687554e-05,0.05649022031293171,0.06724643044664133,1.5,20.0,100.0,708.669863610687,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
7,,True,20.002394485167372,437.7799532703216,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,41.33318122737086,0.00012199095648993417,1.6052918345944862,99.4177777777775,1.6078166151936488,41.333181227371824,2.298027150449949e-05,0.058079556541882696,0.06713315411925697,1.5,20.0,100.0,729.834878166268,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
8,,True,20.002394485167372,422.48291729555604,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,39.66114448341017,4.231556817270016e-05,1.6799878417922325,99.4177777777775,1.6078166151936488,39.66114448341068,2.0823975571032558e-05,0.15521104283104833,0.060210328061632554,1.5,20.0,100.0,2174.47982701768,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
9,,True,20.002394485167372,419.21092208416735,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,39.28814945961409,3.943082031333089e-05,1.6969293545512383,99.4177777777775,1.6078166151936488,39.28814945961449,2.034244166421736e-05,0.17709913810884734,0.05865030373841802,1.5,20.0,100.0,2547.10819667298,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
10,,True,20.002394485167372,411.8155192408178,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,38.42360333482992,4.035341191127469e-05,1.736583129730658,99.4177777777775,1.6078166151936488,38.42360333482992,1.9226023049026204e-05,0.22812598164948492,0.055013481174038585,1.5,20.0,100.0,3497.86306978426,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
11,,True,20.002394485167372,438.8551510679931,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,41.446500094291366,0.00013811730158376295,1.6003039205353469,99.4177777777775,1.6078166151936488,41.44650009429114,2.3126143591145235e-05,0.0515571248712145,0.06759802561195435,1.5,20.0,100.0,643.428152314715,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
12,,True,20.002394485167372,412.9432270987246,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,38.55741796248583,4.019842493358818e-05,1.7304104138136251,99.4177777777775,1.6078166151936488,38.55741796248509,1.939883878957178e-05,0.2202017545312233,0.05557826250027613,1.5,20.0,100.0,3342.05422945967,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
13,,True,20.002394485167372,416.2215194217356,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,38.94233566431507,3.97781352921515e-05,1.7127261534273193,99.4177777777775,1.6078166151936488,38.942335664314896,1.9895916741588568e-05,0.19746103414088606,0.05719905578508449,1.5,20.0,100.0,2912.00353953375,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
14,,True,20.002394485167372,408.27729594419895,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,37.99896907195421,4.0877852504497186e-05,1.756255629303257,99.41777777777752,1.6078166151936488,37.99896907195438,1.8677616249923962e-05,0.2533341128535002,0.05321682874245718,1.5,20.0,100.0,4015.50783380592,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
15,,True,20.002394485167372,406.2592684390638,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,37.75346003598611,4.12051920104212e-05,1.7676880703531952,99.41777777777749,1.6078166151936488,37.75346003598628,1.836055137695334e-05,0.26795103172386026,0.05217504095788658,1.5,20.0,100.0,4331.99300269115,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
16,,True,20.002394485167372,418.53263449760937,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,39.21011171127549,3.950681272400287e-05,1.700486584725722,99.4177777777775,1.6078166151936488,39.21011171127566,2.0241682920190052e-05,0.18168834562626954,0.05832321838373524,1.5,20.0,100.0,2627.76391628465,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
17,,True,20.002394485167372,419.7306994994227,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,39.347782778473515,3.937365905583045e-05,1.6942140292701346,99.4177777777775,1.6078166151936488,39.347782778474084,2.0419434801247082e-05,0.17359452181847912,0.05890008731330717,1.5,20.0,100.0,2486.11751503873,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
18,,True,20.002394485167372,445.0404643629081,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,42.08831121548087,0.0004957744529429851,1.5722330965285054,99.4177777777775,1.6078166151936488,42.088311215481724,2.39486114148713e-05,0.014765342433215145,0.07022027635595779,1.5,20.0,100.0,177.452348377965,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
19,,True,20.002394485167372,445.21865428149727,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,42.10655064117856,0.0005337890432091629,1.5714398009863468,99.41777777777752,1.6078166151936488,42.106550641178046,2.3971628694911355e-05,0.013723484013618547,0.07029453245903276,1.5,20.0,100.0,164.763160556011,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
20,,True,20.002394485167372,428.51962701476054,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,40.334731903092916,5.845146047229506e-05,1.6496497055996793,99.4177777777775,1.6078166151936488,40.33473190309343,2.16932274575411e-05,0.11588369074598218,0.06301329579235769,1.5,20.0,100.0,1551.31822420144,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
21,,True,20.002394485167372,410.52539658500734,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,38.26961840920745,4.053772682577917e-05,1.7437021102379162,99.4177777777775,1.6078166151936488,38.26961840920842,1.9027155218752747e-05,0.23725633196178272,0.05436273614758387,1.5,20.0,100.0,3681.40119443749,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
22,,True,20.002394485167372,429.9947164889694,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,40.49653993908208,6.40855989875595e-05,1.6424113215308282,99.41777777777752,1.6078166151936488,40.496539939082254,2.1901948990803165e-05,0.1064757023243599,0.06368382879829165,1.5,20.0,100.0,1410.37488677878,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
23,,True,20.002394485167372,433.8093881951079,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,40.91007514989741,8.42678843963758e-05,1.6239994269681683,99.4177777777775,1.6078166151936488,40.91007514989781,2.2435166989636482e-05,0.08250190839922177,0.06539250649346169,1.5,20.0,100.0,1064.2851380387,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
24,,True,20.002394485167372,416.1323500377756,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,38.931945334101215,3.978900176585743e-05,1.7132021182117605,99.41777777777749,1.6078166151936488,38.931945334101556,1.9882499503679718e-05,0.19807383978158888,0.057155379452778626,1.5,20.0,100.0,2923.27255629183,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
25,,True,20.002394485167372,410.16901668261585,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,38.2269116612087,4.059000579648184e-05,1.7456795107463532,99.4177777777775,1.6078166151936488,38.226911661208476,1.897200016618429e-05,0.23979077645831842,0.05418209935923109,1.5,20.0,100.0,3733.13029647536,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
26,,True,20.002394485167372,408.2073759154499,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,37.990503514913826,4.088883517940533e-05,1.7566491270675482,99.4177777777775,1.6078166151936488,37.99050351491394,1.866668318543275e-05,0.2538376153141787,0.053180942745186276,1.5,20.0,100.0,4026.20345178153,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
27,,True,20.002394485167372,446.2767199704557,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,42.214563953241736,0.0009727891500172698,1.5667467074622685,99.4177777777775,1.6078166151936488,42.214563953242305,2.410527132422264e-05,0.007557498258830342,0.07073399923432246,1.5,20.0,100.0,90.2106728918614,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
28,,True,20.002394485167372,435.20214590548994,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,41.059327232320584,9.474211823559025e-05,1.6173851722606725,99.41777777777749,1.6078166151936488,41.0593272323207,2.2627519489391586e-05,0.07387446431152751,0.06600740796544807,1.5,20.0,100.0,944.122185991429,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
29,,True,20.002394485167372,439.15686198565015,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,41.47820377397403,0.0001433823401008532,1.5989101338761569,99.4177777777775,1.6078166151936488,41.47820377397426,2.3166941748547114e-05,0.049733729180471295,0.06772798399547429,1.5,20.0,100.0,619.48464126205,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
30,,True,20.002394485167372,434.3011352707291,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,40.962876766556974,8.771484652270477e-05,1.6216575929909083,99.41777777777752,1.6078166151936488,40.96287676655771,2.2503223224125905e-05,0.07944820284417996,0.06561015241776626,1.5,20.0,100.0,1021.49563622041,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
31,,True,20.002394485167372,413.1452648588714,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,38.58131518141033,4.017124191240369e-05,1.7293094107686124,99.41777777777749,1.6078166151936488,38.581315181409934,1.9429700634158017e-05,0.21878760971524835,0.055679052466342555,1.5,20.0,100.0,3314.58121261489,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
32,,True,20.002394485167372,409.03857226301614,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,38.09095273661279,4.075988308773743e-05,1.7519833080030949,99.4177777777775,1.6078166151936488,38.09095273661296,1.8796411329001666e-05,0.24786561688739708,0.05360658340359895,1.5,20.0,100.0,3900.26602104915,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
33,,True,20.002394485167372,418.1445799326542,0.49999999999999994,150.00000000000023,99.4177777777775,22.099999999999977,39.16535366398341,3.9551014451188064e-05,1.7025287961412983,99.4177777777775,1.6078166151936488,39.16535366398415,2.0183891718751322e-05,0.1843219720718579,0.0581355126330931,1.5,20.0,100.0,2674.45999496396,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
34,,True,20.002394485167372,424.6435067945433,0.49999999999999994,150.00000000000023,99.4177777777775,22.099999999999977,39.904364863351645,4.711059787057617e-05,1.6689951245960153,99.41777777777752,1.6078166151936488,39.90436486335187,2.1137906182825942e-05,0.1409806115621448,0.06122456974853152,1.5,20.0,100.0,1942.4036777604,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
35,,True,20.002394485167372,429.0317762756972,0.49999999999999994,150.00000000000023,99.4177777777775,22.099999999999977,40.39103309676108,6.0305784555416164e-05,1.647128929286732,99.4177777777775,1.6078166151936488,40.39103309676119,2.1765856852752e-05,0.11260843438134119,0.06324673225087075,1.5,20.0,100.0,1501.91171682252,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
36,,True,20.002394485167372,446.9356483822039,0.49999999999999994,150.00000000000023,99.4177777777775,22.099999999999977,42.28156148083082,0.0019688665138623816,1.5638390454265478,99.4177777777775,1.6078166151936488,42.28156148083053,2.417916833095002e-05,0.003735101820250511,0.0710064322311667,1.5,20.0,100.0,44.4576048872284,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
37,,True,20.002394485167372,407.93727031405,0.49999999999999994,150.00000000000023,99.4177777777775,22.099999999999977,37.957773174840895,4.093149868137258e-05,1.7581709841506887,99.41777777777752,1.6078166151936488,37.95777317484061,1.8624412805266685e-05,0.25578465049422705,0.053042172223355,1.5,20.0,100.0,4067.69940780235,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
38,,True,20.002394485167372,416.73394403272164,0.49999999999999994,150.00000000000023,99.4177777777775,22.099999999999977,39.00196007834421,3.97162750823496e-05,1.7099963547207817,99.41777777777749,1.6078166151936488,39.001960078344496,1.9972909982145457e-05,0.19394561319480572,0.05744960944034818,1.5,20.0,100.0,2847.68878210967,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
39,,True,20.002394485167372,435.65035486642137,0.49999999999999994,150.00000000000023,99.4177777777775,22.099999999999977,41.10716470826043,9.863361801164762e-05,1.6152686848522635,99.4177777777775,1.6078166151936488,41.107164708260086,2.268915792559049e-05,0.07111208791998844,0.06620429006500149,1.5,20.0,100.0,906.119601408862,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
40,,True,20.002394485167372,422.16141982310126,0.49999999999999994,150.00000000000023,99.4177777777775,22.099999999999977,39.624745605833255,4.1672103569036793e-05,1.6816366443971251,99.4177777777775,1.6078166151936488,39.6247456058332,2.077698981086478e-05,0.15734356681394127,0.06005833725467662,1.5,20.0,100.0,2209.93330281792,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
41,,True,20.002394485167372,416.85080917739265,0.49999999999999994,150.00000000000023,99.4177777777775,22.099999999999977,39.01553794822365,3.970230555565044e-05,1.7093750737426725,99.4177777777775,1.6078166151936488,39.01553794822371,1.9990442907201112e-05,0.19314534049235155,0.05750664706219254,1.5,20.0,100.0,2833.12607504523,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
42,,True,20.002394485167372,417.6946957000754,0.49999999999999994,150.00000000000023,99.4177777777775,22.099999999999977,39.11336177406321,3.960293188039184e-05,1.704902887257395,99.41777777777752,1.6078166151936488,39.11336177406332,2.0116758801371927e-05,0.18738263113681078,0.057917371100839464,1.5,20.0,100.0,2729.10794010402,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
43,,True,20.002394485167372,424.0865562000398,0.49999999999999994,150.00000000000023,99.4177777777775,22.099999999999977,39.84189913564467,4.5789735452428726e-05,1.6718142508079716,99.4177777777775,1.6078166151936488,39.84189913564512,2.105728575698769e-05,0.14463216834703324,0.06096431332817474,1.5,20.0,100.0,2001.21836704246,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
44,,True,20.002394485167372,428.65305249279197,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,40.34941204031901,5.8924854707791786e-05,1.648992207276042,99.4177777777775,1.6078166151936488,40.34941204031992,2.171216551569214e-05,0.11502951213695183,0.06307417543271462,1.5,20.0,100.0,1538.39788076786,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
45,,True,20.002394485167372,417.7987073131892,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,39.12539190847053,3.959086398852643e-05,1.7043533851661552,99.41777777777749,1.6078166151936488,39.125391908470135,2.013229247336741e-05,0.1866743090865422,0.05796785514829602,1.5,20.0,100.0,2716.42429974231,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
46,,True,20.002394485167372,406.65811013189887,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,37.802176516493205,4.1138760521862146e-05,1.7654161284631076,99.4177777777775,1.6078166151936488,37.80217651649372,1.842346586385115e-05,0.2650481476956402,0.05238193744261737,1.5,20.0,100.0,4268.13804046744,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
47,,True,20.002394485167372,441.4205928291042,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,41.71476500857034,0.0001993361299833336,1.588533726334345,99.4177777777775,1.6078166151936488,41.71476500857074,2.3471102600154294e-05,0.03614779762785503,0.06869629039036555,1.5,20.0,100.0,443.936168650615,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
48,,True,20.002394485167372,447.4207658015432,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,42.33057519990177,0.007803458813211683,1.5617065416581966,99.41777777777749,1.6078166151936488,42.33057519990234,2.416937027261963e-05,0.0009296010430867307,0.07120639020990467,1.5,20.0,100.0,11.0985264046556,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
49,,True,20.002394485167372,417.40401973574126,0.49999999999999994,150.00000000000017,99.4177777777775,22.099999999999977,39.07971045723673,3.9636865753449844e-05,1.7064405374077245,99.4177777777775,1.6078166151936488,39.07971045723701,2.007330679344978e-05,0.18936440774171046,0.0577761244684455,1.5,20.0,100.0,2764.71258684537,1195.4,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
