sample,time,solved,E2.Tsi,E2.Tti,K1.P1,M1.PV,M2.PV,M3.PV,R1.T2,R1.Xmax,R1.tau,S4.W,SNK1.P,SNK1.T,SNK1.z[C2H4O],SNK1.z[C2H4],SNK1.z[CO2],SRCE1.P,SRCE1.T,SRCE1.W,SRCR1.M[C2H4],SRCR1.M[O2],SRCR1.P,SRCR1.T,XC1.SP,XC2.SP,XV1.Pos,XV2.Pos,XV3.Pos
0,,True,20.002394485167372,399.319574764281,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.6075270229311,0.6628112930050533,1.105576592579277,99.4177777777775,1.6078166151936488,217.60752702293127,0.016398977341617448,0.2671095459029818,0.06371358024877719,1.5,20.0,100.0,4464.0,516.519332651025,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
1,,True,20.002394485167372,400.34683838858325,0.49999999999999994,150.00000000000006,99.4177777777775,22.099999999999977,217.5284246142229,0.5490072016123058,1.1095807416331964,99.4177777777775,1.6078166151936488,217.5284246142224,0.016417479989458826,0.2650476772486358,0.063326176171852,1.5,20.0,100.0,4464.0,628.257089111635,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
2,,False,20.002394485167372,394.9778923426628,0.49999999999999994,150.00000000000028,99.4177777777775,22.099999999999977,217.73726167093287,0.9999973320698348,1.0990693260180997,99.41777777777749,1.6078166151936488,217.7372616709327,0.016368935255035126,0.27046027657753635,0.06434335025164341,1.5,20.0,100.0,4464.0,53.1446335215179,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
3,,False,20.002394485167372,394.93823935810383,0.49999999999999994,150.00000000000045,99.4177777777775,22.099999999999977,217.7372610209032,0.999994796101596,1.099069358438673,99.4177777777775,1.6078166151936488,217.73726102090325,0.016368935404624405,0.2704602598837059,0.06434334711341065,1.5,20.0,100.0,4464.0,48.9776237291912,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
4,,True,20.002394485167372,399.2791083132395,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.6106656544336,0.6682900396359324,1.1054182909570915,99.4177777777775,1.6078166151936488,217.61066565443338,0.01639824610630971,0.2671910598729127,0.06372889782990364,1.5,20.0,100.0,4464.0,512.134396027712,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
5,,True,20.002394485167372,403.0236997903445,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.32737519870807,0.38090919531249623,1.1198858395993054,99.4177777777775,1.6078166151936488,217.32737519870795,0.01646515270100913,0.2597410522255268,0.06232954575207021,1.5,20.0,100.0,4464.0,923.302503077903,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
6,,True,20.002394485167372,404.5994169736143,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.21236049211416,0.3235144221034903,1.1258660476504965,99.4177777777775,1.6078166151936488,217.21236049211376,0.016492850800438632,0.25666139310387576,0.061751439954344664,1.5,20.0,100.0,4464.0,1099.64510876464,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
7,,False,20.002394485167372,396.45938932023023,0.49999999999999994,150.00000000000006,99.4177777777775,22.099999999999977,217.7372597428511,0.9999898100585304,1.0990694221822126,99.4177777777775,1.6078166151936488,217.73725974285054,0.016368935698738648,0.270460227061219,0.06434334094319087,1.5,20.0,100.0,4464.0,209.66639340611,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
8,,False,20.002394485167372,396.02865950510807,0.49999999999999994,150.00000000000006,99.4177777777775,22.099999999999977,217.73725531546575,0.9999725379551834,1.0990696430005065,99.4177777777775,1.6078166151936488,217.7372553154658,0.016368936717599706,0.270460113358627,0.06434331956851637,1.5,20.0,100.0,4464.0,163.99087275643,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
9,,True,20.002394485167372,401.47356628231876,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.44291659589624,0.4625858885607615,1.113940875237472,99.4177777777775,1.6078166151936488,217.44291659589618,0.016437641313641407,0.2628024553619884,0.06290442865506703,1.5,20.0,100.0,4464.0,751.757991041944,1.0,25.0,150.0,99.4177777777775,1.0,1.0,0.5
